problem,sample_id,x_1,x_2,x_3,f_1,f_2
ZDT1,0,0.9113021975722019,0.22805607801239738,0.9570701040044309,0.9113021975722019,3.930706767756109
ZDT1,1,0.015131598547031805,0.045291132605617526,0.40121888241816217,0.015131598547031805,2.7959047096416305
ZDT1,2,0.7619430149004824,0.5606967847361524,0.1935943183662227,0.7619430149004824,2.5644974647282024
ZDT1,3,0.47748070310522167,0.33146009878837096,0.2536617505575699,0.47748070310522167,2.315964244546534
ZDT1,4,0.26780674399596677,0.5088619193364585,0.07782929005863344,0.26780674399596677,2.6527674799126744
ZDT1,5,0.08863806391076115,0.9222707606492083,0.6968091371947913,0.08863806391076115,7.428863304898727
ZDT1,6,0.2086184414003709,0.4184167800438968,0.7620956129957313,0.2086184414003709,5.164759085050927
ZDT1,7,0.9822737015935067,0.10146509878025482,0.005343943933890117,0.9822737015935067,0.2746579338498868
ZDT1,8,0.6110808251463119,0.4902680646074016,0.8266639498136483,0.6110808251463119,4.868898659684439
ZDT1,9,0.4478098117106386,0.3922855253966226,0.36584755233787725,0.4478098117106386,3.006053670782477
ZDT1,10,0.8127618922046091,0.7016245133782895,0.4837087320930924,0.8127618922046091,4.065071773271092
ZDT1,11,0.13147701469825654,0.0765222094362096,0.14052643204578572,0.13147701469825654,1.4669217720077654
ZDT1,12,0.5435039247332265,0.9762147536887034,0.23865453254745578,0.5435039247332265,4.592133951166927
ZDT1,13,0.1665093002658745,0.8781424040563834,0.8583660901971081,0.1665093002658745,7.602817644826708
ZDT1,14,0.5649867448998875,0.7843816679308979,0.30838700993023993,0.5649867448998875,4.088993593509769
ZDT1,15,0.6597617821251599,0.6806260810484913,0.9355835948034879,0.6597617821251599,5.936670446370202
ZDT1,16,0.8658752248012511,0.6430123758195345,0.5900045898762446,0.8658752248012511,4.167347667951896
ZDT1,17,0.39963188651244974,0.1606537811248931,0.5167574571703983,0.39963188651244974,2.776403255619696
ZDT1,18,0.7147417310686832,0.26096354844890157,0.627054211223083,0.7147417310686832,3.1063956037445335
ZDT1,19,0.3215629402023553,0.8430101500936171,0.7442734963232013,0.3215629402023553,6.524624647312992
